Sample ID,Retention Time,Peak Area,Peak Height,Intensity,Concentration,Compound Name,Analysis Type
SMP-00001,1.26,11155.7,2939.3,3082.8,0.0107,Uracil,HPLC-UV/Vis
SMP-00001,2.8,44351.8,8614.4,8725.9,0.0452,Acetaminophen,HPLC-UV/Vis
SMP-00001,4.15,99255.9,16338.1,16547.5,0.0999,Caffeine,HPLC-UV/Vis
SMP-00001,5.63,22984.7,5046.6,5129.2,0.0235,Aspirin,HPLC-UV/Vis
SMP-00001,7.19,65026.7,10985.3,11395.1,0.0656,Benzoic Acid,HPLC-UV/Vis
SMP-00001,9.01,29932.4,6042.0,6124.9,0.0303,Phenacetin,HPLC-UV/Vis
SMP-00001,10.4,14290.0,3386.9,3532.6,0.0145,Salicylic Acid,HPLC-UV/Vis
SMP-00001,12.06,57144.8,10137.3,10488.4,0.0573,Chlorpheniramine,HPLC-UV/Vis
SMP-00002,1.28,12728.9,3336.8,3441.4,0.0129,Uracil,HPLC-UV/Vis
SMP-00002,2.76,44336.1,8490.3,8636.5,0.0441,Acetaminophen,HPLC-UV/Vis
SMP-00002,4.12,97837.9,15172.2,15525.7,0.0981,Caffeine,HPLC-UV/Vis
SMP-00002,5.62,24932.6,5451.6,5564.7,0.0253,Aspirin,HPLC-UV/Vis
SMP-00002,7.16,59761.7,9622.5,10006.8,0.06,Benzoic Acid,HPLC-UV/Vis
SMP-00002,8.94,31695.1,6622.1,6779.8,0.032,Phenacetin,HPLC-UV/Vis
SMP-00002,10.39,15005.2,3518.8,3658.6,0.0149,Salicylic Acid,HPLC-UV/Vis
SMP-00002,12.11,56621.1,10433.9,10726.3,0.0562,Chlorpheniramine,HPLC-UV/Vis
SMP-00003,1.2,10648.8,2610.0,2636.3,0.0108,Uracil,HPLC-UV/Vis
SMP-00003,2.79,51750.7,9961.6,10407.4,0.0509,Acetaminophen,HPLC-UV/Vis
SMP-00003,4.12,86176.6,14374.1,14308.8,0.087,Caffeine,HPLC-UV/Vis
SMP-00003,5.58,19759.6,4373.8,4458.7,0.0199,Aspirin,HPLC-UV/Vis
SMP-00003,7.25,65786.8,10588.8,10944.4,0.0661,Benzoic Acid,HPLC-UV/Vis
SMP-00003,8.98,32313.9,6909.9,6952.9,0.0319,Phenacetin,HPLC-UV/Vis
SMP-00003,10.39,13453.0,3349.4,3435.0,0.013,Salicylic Acid,HPLC-UV/Vis
SMP-00003,12.11,58743.6,11209.1,12198.6,0.0592,Chlorpheniramine,HPLC-UV/Vis
SMP-00004,1.19,12783.8,3207.7,3277.3,0.0127,Uracil,HPLC-UV/Vis
SMP-00004,2.83,46519.5,8997.8,9081.4,0.045,Acetaminophen,HPLC-UV/Vis
SMP-00004,4.15,104970.9,17120.4,17970.5,0.1041,Caffeine,HPLC-UV/Vis
SMP-00004,5.57,21424.7,5056.1,5124.7,0.0218,Aspirin,HPLC-UV/Vis
