Sample ID,Retention Time,Peak Area,Peak Height,Intensity,Concentration,Compound Name,Analysis Type
SMP-00001,1.23,9917.3,2606.9,2723.9,0.0099,Uracil,GC-MS
SMP-00001,2.85,50658.7,10033.5,10472.5,0.0499,Acetaminophen,GC-MS
SMP-00001,4.1,86238.5,13828.4,13765.2,0.086,Caffeine,GC-MS
SMP-00001,5.59,20310.4,4470.5,4680.9,0.0204,Aspirin,GC-MS
SMP-00001,7.16,70777.0,11925.2,12602.8,0.0728,Benzoic Acid,GC-MS
SMP-00001,8.9,26721.9,5270.9,5460.2,0.0262,Phenacetin,GC-MS
SMP-00001,10.41,16169.8,4024.4,4172.5,0.0157,Salicylic Acid,GC-MS
SMP-00001,12.14,62456.4,11073.6,10996.6,0.0608,Chlorpheniramine,GC-MS
SMP-00002,1.28,13571.4,3628.2,3892.5,0.0138,Uracil,GC-MS
SMP-00002,2.79,44259.2,8291.8,8625.3,0.0446,Acetaminophen,GC-MS
SMP-00002,4.13,93276.8,15731.0,16228.5,0.0938,Caffeine,GC-MS
SMP-00002,5.59,22368.9,4895.3,4983.6,0.0226,Aspirin,GC-MS
SMP-00002,7.17,76830.8,12632.6,12918.8,0.0739,Benzoic Acid,GC-MS
SMP-00002,8.97,27796.2,5856.8,6038.4,0.028,Phenacetin,GC-MS
SMP-00002,10.4,10505.3,2360.8,2477.5,0.0111,Salicylic Acid,GC-MS
SMP-00002,12.08,46655.0,8596.7,8545.5,0.0453,Chlorpheniramine,GC-MS
SMP-00003,1.25,12128.3,3219.4,3235.9,0.0119,Uracil,GC-MS
SMP-00003,2.8,44253.2,9131.8,9295.5,0.0448,Acetaminophen,GC-MS
SMP-00003,4.16,85250.2,13687.0,14542.1,0.0846,Caffeine,GC-MS
SMP-00003,5.58,22017.1,5031.0,4932.4,0.0212,Aspirin,GC-MS
SMP-00003,7.21,71261.3,11732.9,11745.7,0.0724,Benzoic Acid,GC-MS
SMP-00003,8.92,31469.2,6805.4,7026.4,0.0307,Phenacetin,GC-MS
SMP-00003,10.39,16137.0,4035.0,4079.4,0.0159,Salicylic Acid,GC-MS
SMP-00003,12.12,61641.8,10709.1,10821.6,0.0627,Chlorpheniramine,GC-MS
SMP-00004,1.26,12377.4,3108.1,3293.8,0.0124,Uracil,GC-MS
SMP-00004,2.8,46939.2,8692.9,8800.3,0.0457,Acetaminophen,GC-MS
SMP-00004,4.18,102184.4,17135.5,17030.8,0.1029,Caffeine,GC-MS
SMP-00004,5.58,25010.8,5347.8,5390.9,0.0246,Aspirin,GC-MS
SMP-00004,7.17,73953.6,11922.7,12166.6,0.0731,Benzoic Acid,GC-MS
SMP-00004,8.92,32679.5,7057.3,7098.8,0.0321,Phenacetin,GC-MS
SMP-00004,10.36,17529.8,4214.7,4430.6,0.0177,Salicylic Acid,GC-MS
SMP-00004,12.13,52521.1,9808.8,9842.6,0.0517,Chlorpheniramine,GC-MS
SMP-00005,1.19,13043.5,3312.5,3375.3,0.0129,Uracil,GC-MS
SMP-00005,2.75,49625.4,9771.2,9980.3,0.0495,Acetaminophen,GC-MS
SMP-00005,4.13,75627.7,12416.5,12578.7,0.0749,Caffeine,GC-MS
SMP-00005,5.62,27296.5,6079.3,6275.6,0.0277,Aspirin,GC-MS
SMP-00005,7.15,63337.0,10109.0,10553.1,0.0651,Benzoic Acid,GC-MS
SMP-00005,8.92,33700.1,6728.3,6964.2,0.033,Phenacetin,GC-MS
SMP-00005,10.36,15627.7,3731.3,3875.8,0.0152,Salicylic Acid,GC-MS
SMP-00005,12.08,60990.0,11328.0,11618.9,0.0611,Chlorpheniramine,GC-MS
SMP-00006,1.26,12109.1,3217.5,3281.3,0.0117,Uracil,GC-MS
SMP-00006,2.8,49612.7,9800.4,10119.8,0.0497,Acetaminophen,GC-MS
SMP-00006,4.13,78341.1,12377.8,12726.5,0.0743,Caffeine,GC-MS
SMP-00006,5.57,22896.3,4930.9,5084.9,0.0228,Aspirin,GC-MS
SMP-00006,7.19,65758.7,10936.7,10867.1,0.0643,Benzoic Acid,GC-MS
SMP-00006,8.97,31463.4,6662.1,6838.0,0.0313,Phenacetin,GC-MS
SMP-00006,10.35,17065.7,4135.5,4251.8,0.017,Salicylic Acid,GC-MS
