Sample ID,Retention Time,Peak Area,Peak Height,Intensity,Concentration,Compound Name,Analysis Type
SMP-00001,1.23,12750.0,3095.0,3274.3,0.013,Uracil,LC-MS/MS
SMP-00001,2.79,47191.8,9099.4,9331.2,0.0479,Acetaminophen,LC-MS/MS
SMP-00001,4.15,88438.3,14446.3,14702.2,0.0877,Caffeine,LC-MS/MS
SMP-00001,5.6,83685.3,16526.9,16274.3,0.0832,Aspirin,LC-MS/MS
SMP-00001,7.24,59109.8,9881.9,9947.2,0.0609,Benzoic Acid,LC-MS/MS
SMP-00001,8.98,28437.5,5965.2,6082.2,0.0282,Phenacetin,LC-MS/MS
SMP-00001,10.43,15919.6,3806.3,3857.6,0.0164,Salicylic Acid,LC-MS/MS
SMP-00001,12.12,66035.6,11700.7,12650.6,0.0695,Chlorpheniramine,LC-MS/MS
SMP-00002,1.27,11624.0,3083.1,3148.3,0.0117,Uracil,LC-MS/MS
SMP-00002,2.81,51699.6,9898.5,10000.4,0.0508,Acetaminophen,LC-MS/MS
SMP-00002,4.11,81057.4,13739.0,13988.1,0.0815,Caffeine,LC-MS/MS
SMP-00002,5.61,19078.8,4105.5,4413.8,0.0188,Aspirin,LC-MS/MS
SMP-00002,7.21,66369.0,10810.3,11412.9,0.0661,Benzoic Acid,LC-MS/MS
SMP-00002,8.93,31379.3,6526.6,6771.1,0.0306,Phenacetin,LC-MS/MS
SMP-00002,10.39,14268.9,3553.0,3701.4,0.0137,Salicylic Acid,LC-MS/MS
SMP-00002,12.06,54836.5,10513.3,10748.3,0.0551,Chlorpheniramine,LC-MS/MS
SMP-00003,1.22,10013.7,2571.0,2696.9,0.01,Uracil,LC-MS/MS
SMP-00003,2.81,45633.4,9006.1,9364.1,0.0467,Acetaminophen,LC-MS/MS
SMP-00003,4.08,90224.3,14400.5,14824.7,0.0932,Caffeine,LC-MS/MS
SMP-00003,5.62,25285.0,5653.2,5949.3,0.0251,Aspirin,LC-MS/MS
SMP-00003,7.23,72254.9,12474.8,12902.0,0.0744,Benzoic Acid,LC-MS/MS
SMP-00003,8.92,24844.6,4885.2,5111.7,0.0239,Phenacetin,LC-MS/MS
SMP-00003,10.46,16921.8,4326.2,4370.2,0.0162,Salicylic Acid,LC-MS/MS
SMP-00003,12.06,54693.7,9953.5,10063.2,0.0564,Chlorpheniramine,LC-MS/MS
SMP-00004,1.27,12413.8,3209.0,3235.0,0.0124,Uracil,LC-MS/MS
SMP-00004,2.77,49689.6,9275.3,9469.5,0.0476,Acetaminophen,LC-MS/MS
SMP-00004,4.17,94742.8,16670.5,17483.9,0.0931,Caffeine,LC-MS/MS
SMP-00004,5.57,24922.0,5616.3,5686.0,0.0256,Aspirin,LC-MS/MS
SMP-00004,7.22,62845.7,10881.6,11020.7,0.0604,Benzoic Acid,LC-MS/MS
SMP-00004,8.94,31335.7,6797.5,7155.9,0.0317,Phenacetin,LC-MS/MS
SMP-00004,10.38,16775.6,4212.9,4403.0,0.0167,Salicylic Acid,LC-MS/MS
SMP-00004,12.11,55416.7,9912.5,10434.6,0.056,Chlorpheniramine,LC-MS/MS
SMP-00005,1.24,13419.3,3474.6,3593.0,0.0131,Uracil,LC-MS/MS
SMP-00005,2.81,46148.5,9005.1,9305.2,0.0465,Acetaminophen,LC-MS/MS
SMP-00005,4.16,90608.1,14840.4,15561.4,0.0897,Caffeine,LC-MS/MS
SMP-00005,5.62,23343.5,5081.4,5271.3,0.0237,Aspirin,LC-MS/MS
SMP-00005,7.2,67836.5,11051.1,11245.8,0.0657,Benzoic Acid,LC-MS/MS
SMP-00005,8.9,29276.7,5898.3,6011.4,0.0295,Phenacetin,LC-MS/MS
SMP-00005,10.38,14474.5,3396.9,3485.5,0.0144,Salicylic Acid,LC-MS/MS
SMP-00005,12.15,62211.3,11860.4,11927.5,0.0629,Chlorpheniramine,LC-MS/MS
SMP-00006,1.26,15098.3,4124.3,4328.8,0.0153,Uracil,LC-MS/MS
SMP-00006,2.77,49007.2,9503.4,9535.6,0.0489,Acetaminophen,LC-MS/MS
SMP-00006,4.18,88240.3,14227.0,14655.5,0.0885,Caffeine,LC-MS/MS
SMP-00006,5.62,28159.7,6342.0,6348.6,0.0282,Aspirin,LC-MS/MS
SMP-00006,7.15,71843.5,11965.3,12159.8,0.069,Benzoic Acid,LC-MS/MS
SMP-00006,8.95,31299.9,6553.3,6949.6,0.0311,Phenacetin,LC-MS/MS
SMP-00006,10.4,14826.1,3583.6,3760.0,0.0145,Salicylic Acid,LC-MS/MS
SMP-00006,12.14,54394.6,9910.6,9928.1,0.057,Chlorpheniramine,LC-MS/MS
SMP-00007,1.26,12522.0,3261.8,3317.1,0.0126,Uracil,LC-MS/MS
SMP-00007,2.81,42694.0,8535.9,8771.4,0.0429,Acetaminophen,LC-MS/MS
SMP-00007,4.17,91589.6,14907.8,15045.2,0.0935,Caffeine,LC-MS/MS
SMP-00007,5.6,26973.3,5938.3,5905.9,0.0267,Aspirin,LC-MS/MS
SMP-00007,7.19,71626.0,11590.9,11920.0,0.0719,Benzoic Acid,LC-MS/MS
SMP-00007,8.92,31472.4,6623.8,6742.6,0.031,Phenacetin,LC-MS/MS
SMP-00007,10.41,14753.6,3555.7,3646.0,0.0144,Salicylic Acid,LC-MS/MS
SMP-00007,12.08,62783.0,11200.3,11638.7,0.0632,Chlorpheniramine,LC-MS/MS
SMP-00008,1.21,11895.8,3121.1,3179.0,0.0118,Uracil,LC-MS/MS
SMP-00008,2.79,47231.4,9297.3,9656.0,0.0469,Acetaminophen,LC-MS/MS
SMP-00008,4.17,87990.2,13301.6,13972.0,0.0861,Caffeine,LC-MS/MS
SMP-00008,5.65,24861.2,5627.5,6005.4,0.0244,Aspirin,LC-MS/MS
SMP-00008,7.21,60881.8,10793.6,10992.0,0.0599,Benzoic Acid,LC-MS/MS
SMP-00008,8.98,29325.1,5900.7,6137.2,0.0284,Phenacetin,LC-MS/MS
SMP-00008,10.37,14923.1,3618.9,3861.0,0.0152,Salicylic Acid,LC-MS/MS
SMP-00008,12.09,58940.0,10783.5,11299.2,0.0604,Chlorpheniramine,LC-MS/MS
SMP-00009,1.18,12423.4,3200.8,3315.1,0.0123,Uracil,LC-MS/MS
SMP-00009,2.82,48605.7,9801.0,9670.4,0.0471,Acetaminophen,LC-MS/MS
SMP-00009,4.17,96278.3,15526.8,15845.4,0.0966,Caffeine,LC-MS/MS
SMP-00009,5.55,20534.6,4551.7,4746.3,0.0213,Aspirin,LC-MS/MS
SMP-00009,7.21,78778.2,12830.7,12969.4,0.0781,Benzoic Acid,LC-MS/MS
SMP-00009,9.01,30112.0,6428.2,6560.3,0.0304,Phenacetin,LC-MS/MS
SMP-00009,10.42,16772.4,4007.1,4244.0,0.0171,Salicylic Acid,LC-MS/MS
SMP-00009,12.12,48384.3,8776.7,8834.5,0.0492,Chlorpheniramine,LC-MS/MS
SMP-00010,1.29,13360.4,3347.3,3473.2,0.0137,Uracil,LC-MS/MS
SMP-00010,2.8,38040.1,7164.0,7114.0,0.0398,Acetaminophen,LC-MS/MS
SMP-00010,4.17,87392.7,13570.9,14025.8,0.0863,Caffeine,LC-MS/MS
SMP-00010,5.6,23353.7,5128.7,5203.1,0.0229,Aspirin,LC-MS/MS
SMP-00010,7.24,56587.0,9183.0,9428.7,0.0564,Benzoic Acid,LC-MS/MS
SMP-00010,9.01,32447.8,6467.2,6417.8,0.0323,Phenacetin,LC-MS/MS
SMP-00010,10.41,11987.6,2763.1,2852.8,0.0123,Salicylic Acid,LC-MS/MS
SMP-00010,12.1,60016.6,11221.6,11406.4,0.0605,Chlorpheniramine,LC-MS/MS
SMP-00011,1.22,13183.0,3251.7,3360.3,0.0133,Uracil,LC-MS/MS
SMP-00011,2.77,47544.3,9205.9,9755.6,0.0469,Acetaminophen,LC-MS/MS
SMP-00011,4.17,81566.9,12696.2,13308.2,0.0823,Caffeine,LC-MS/MS
SMP-00011,5.57,20540.4,4633.8,4909.2,0.0215,Aspirin,LC-MS/MS
SMP-00011,7.17,59775.3,9613.5,9996.0,0.0615,Benzoic Acid,LC-MS/MS
SMP-00011,8.97,34095.3,7055.0,7723.3,0.0344,Phenacetin,LC-MS/MS
SMP-00011,10.42,14751.7,3468.1,3601.4,0.0151,Salicylic Acid,LC-MS/MS
SMP-00011,12.13,52164.2,9912.0,10251.9,0.0527,Chlorpheniramine,LC-MS/MS
SMP-00012,1.21,12223.7,3318.5,3420.5,0.0126,Uracil,LC-MS/MS
